Target,Fluorophore,Localization,Volume,Box_Location,Status,Clone
CD4,PC7,Surface (表面),,,In Use (使用中),
CD25,PE,Surface (表面),,,In Use (使用中),
CD8,PB,Surface (表面),,,In Use (使用中),
CD45,BV510,Surface (表面),,,In Use (使用中),
CD8,APC,Surface (表面),,,In Use (使用中),
CD8-3,FITC,Surface (表面),,,In Use (使用中),
CD8-2,FITC,Surface (表面),,,In Use (使用中),
CD8-1,FITC,Surface (表面),,,In Use (使用中),
CD8,BV605,Surface (表面),,,In Use (使用中),
CD8,FITC,Surface (表面),,,In Use (使用中),
CD8,AF700,Surface (表面),,,In Use (使用中),
CD8b,FITC,Surface (表面),,,In Use (使用中),
CD45,AC7,Surface (表面),,,In Use (使用中),
CD45,BV650,Surface (表面),,,In Use (使用中),
CD45,BV785,Surface (表面),,,In Use (使用中),
CD45,PE,Surface (表面),,,In Use (使用中),
CD45,APC,Surface (表面),,,In Use (使用中),
CD45,PE,Surface (表面),,,In Use (使用中),
CD45,FITC,Surface (表面),,,In Use (使用中),
CD45,PC5.5,Surface (表面),,,In Use (使用中),
