Target,Fluorophore,Localization,Volume,Box_Location,Status,Clone
IL-4,FITC,Surface (表面),,旧,In Use (使用中),
EOMES,FITC,Intranuclear (核内),,旧,In Use (使用中),
TGF-β1,PC5.5,Intracellular (胞内),,旧,In Use (使用中),
GZMB,FITC,Intracellular (胞内),,旧,In Use (使用中),
CD49b,FITC,Surface (表面),,旧,In Use (使用中),
IL-10,FITC,Surface (表面),,旧,In Use (使用中),
Tim-3（2）,PC5.5,Surface (表面),,旧,In Use (使用中),
Tim-3,PC5.5,Surface (表面),,旧,In Use (使用中),
CD160,PC5.5,Surface (表面),,旧,In Use (使用中),
CD11c,PC5.5,Surface (表面),,旧,In Use (使用中),
CD8a,PC7,Surface (表面),,旧,In Use (使用中),
IL-17A,PC7,Surface (表面),,旧,In Use (使用中),
CD45.1,AC7,Surface (表面),,旧,In Use (使用中),
CD62L,PE,Surface (表面),,旧,In Use (使用中),
IL-21,PE,Surface (表面),,旧,In Use (使用中),
IL-2Rβ,PE,Surface (表面),,旧,In Use (使用中),
FOXP3,PE,Intranuclear (核内),,旧,In Use (使用中),
CD45.2,APC,Surface (表面),,旧,In Use (使用中),
LAMP-1,PE,Surface (表面),,旧,In Use (使用中),
IL-4,PC7,Surface (表面),,旧,In Use (使用中),
NOS2,PE,Surface (表面),,旧,In Use (使用中),
LAMP-1,APC,Surface (表面),,旧,In Use (使用中),
CTLA-4,PE,Surface (表面),,旧,In Use (使用中),
CD40L,PE,Surface (表面),,旧,In Use (使用中),
IL-21,PE,Surface (表面),,旧,In Use (使用中),
CD49b,PE,Surface (表面),,旧,In Use (使用中),
IL-4(2),PE,Surface (表面),,旧,In Use (使用中),
IL-4,PE,Surface (表面),,旧,In Use (使用中),
PD-L1,PE,Surface (表面),,旧,In Use (使用中),
CD8,PE,Intranuclear (核内),,,In Use (使用中),
CD4,PB,Surface (表面),295.0,,In Use (使用中),
CD8,PE,Intracellular (胞内),6.0,,,
CD103,PE,Surface (表面),9.0,,,
